Date,14/03 16:38,14/03 16:36,14/03 16:35,14/03 16:33
lizi,1.0,1.0,,
gps,1.0,1.0,,
mrk,4.0,4.0,,
tear,7.0,7.0,,
quad,4.0,4.0,,
plug,3.0,3.0,,
mos,3.0,3.0,,
adbe,3.0,3.0,,
met,12.0,12.0,,
road,11.0,11.0,,
azn,7.0,7.0,,
ect,4.0,4.0,,
par,3.0,3.0,,
ppl,3.0,3.0,,
mcd,3.0,3.0,,
rail,3.0,3.0,,
alk,3.0,3.0,,
edu,3.0,3.0,,
bhp,3.0,3.0,,
ads,3.0,3.0,,
fox,8.0,8.0,,
joe,3.0,3.0,,
inn,3.0,3.0,,
gd,6.0,6.0,,
stla,3.0,3.0,,
pace,17.0,17.0,,
lmt,3.0,3.0,,
cto,9.0,9.0,,
nine,3.0,3.0,,
arlo,3.0,3.0,,
pros,2.0,2.0,,
gnog,11.0,11.0,,
fb,2.0,2.0,,
twtr,1.0,1.0,,
lite,1.0,1.0,,
hd,1.0,1.0,,
cuk,1.0,1.0,,
nclh,1.0,1.0,,
xpev,2.0,2.0,,
jack,16.0,16.0,,
crsp,1.0,1.0,,
beam,1.0,1.0,,
bio,1.0,1.0,,
crm,1.0,1.0,,
etn,1.0,1.0,,
hhc,1.0,1.0,,
bp,1.0,1.0,,
md,2.0,2.0,,
arr,1.0,1.0,,
sach,1.0,1.0,,
agi,3.0,3.0,,
nkla,1.0,1.0,,
gau,18.0,18.0,,
frx,9.0,9.0,,
mara,8.0,8.0,,
ston,4.0,4.0,,
evc,4.0,4.0,,
gtpb,4.0,4.0,,
ross,5.0,5.0,,
atnf,4.0,4.0,,
disca,4.0,4.0,,
vuzi,5.0,5.0,,
tree,4.0,4.0,,
echo,4.0,4.0,,
ds,4.0,4.0,,
ghvi,4.0,4.0,,
east,6.0,6.0,,
nymt,4.0,4.0,,
mfa,4.0,4.0,,
mitt,4.0,4.0,,
rock,4.0,4.0,,
maxr,4.0,4.0,,
crex,4.0,4.0,,
idex,4.0,4.0,,
mc,6.0,6.0,,
mp,4.0,4.0,,
pack,6.0,6.0,,
srpt,6.0,6.0,,
ozon,3.0,3.0,,
pen,3.0,3.0,,
spwr,6.0,6.0,,
ua,4.0,4.0,,
ipa,1.0,1.0,,
qd,7.0,7.0,,
pds,3.0,3.0,,
pds,3.0,,,
otglf,2.0,2.0,,
otglf,2.0,,,
ilmn,2.0,2.0,,
ilmn,2.0,,,
g,2.0,2.0,,
g,2.0,,,
dmyi,1.0,1.0,,
dmyi,1.0,,,
ttwo,1.0,1.0,,
ttwo,1.0,,,
pdsb,1.0,1.0,,
pdsb,1.0,,,
ms,1.0,1.0,,
ms,1.0,,,
nete,1.0,1.0,,
nete,1.0,,,
aveo,1.0,1.0,,
aveo,1.0,,,
nvfy,1.0,1.0,,
nvfy,1.0,,,
uxin,1.0,1.0,,
uxin,1.0,,,
alto,1.0,1.0,,
alto,1.0,,,
cdr,1.0,1.0,,
cdr,1.0,,,
gen,1.0,1.0,,
gen,1.0,,,
abnb,1.0,1.0,,
abnb,1.0,,,
fsly,1.0,1.0,,
fsly,1.0,,,
se,1.0,1.0,,
se,1.0,,,
meli,1.0,1.0,,
meli,1.0,,,
ddog,1.0,1.0,,
ddog,1.0,,,
avid,1.0,1.0,,
avid,1.0,,,
mini,1.0,1.0,,
mini,1.0,,,
imac,1.0,1.0,,
imac,1.0,,,
cuz,1.0,1.0,,
cuz,1.0,,,
mic,1.0,1.0,,
mic,1.0,,,
mat,9.0,9.0,,
mat,9.0,,,
unit,3.0,3.0,,
unit,3.0,,,
,0.0,0.0,,
,0.0,1.0,,
,0.0,1.0,,
,0.0,2.0,,
,0.0,2.0,,
,0.0,2.0,,
,0.0,2.0,,
,0.0,2.0,,
,0.0,2.0,,
,0.0,2.0,,
,0.0,4.0,,
,0.0,4.0,,
,0.0,6.0,,
,0.0,,,
,0.0,,,
,0.0,,,
,0.0,,,
,0.0,,,
,0.0,,,
,0.0,,,
,0.0,,,
,0.0,,,
,0.0,,,
,0.0,,,
,0.0,,,
,0.0,,,
,1.0,0.0,,
,1.0,1.0,,
,1.0,1.0,,
,1.0,2.0,,
,1.0,2.0,,
,1.0,2.0,,
,1.0,2.0,,
,1.0,2.0,,
,1.0,2.0,,
,1.0,2.0,,
,1.0,4.0,,
,1.0,4.0,,
,1.0,6.0,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,0.0,,
,1.0,1.0,,
,1.0,1.0,,
,1.0,2.0,,
,1.0,2.0,,
,1.0,2.0,,
,1.0,2.0,,
,1.0,2.0,,
,1.0,2.0,,
,1.0,2.0,,
,1.0,4.0,,
,1.0,4.0,,
,1.0,6.0,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,1.0,,,
,2.0,0.0,,
,2.0,1.0,,
,2.0,1.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,4.0,,
,2.0,4.0,,
,2.0,6.0,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,0.0,,
,2.0,1.0,,
,2.0,1.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,4.0,,
,2.0,4.0,,
,2.0,6.0,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,0.0,,
,2.0,1.0,,
,2.0,1.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,4.0,,
,2.0,4.0,,
,2.0,6.0,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,0.0,,
,2.0,1.0,,
,2.0,1.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,4.0,,
,2.0,4.0,,
,2.0,6.0,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,0.0,,
,2.0,1.0,,
,2.0,1.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,4.0,,
,2.0,4.0,,
,2.0,6.0,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,0.0,,
,2.0,1.0,,
,2.0,1.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,4.0,,
,2.0,4.0,,
,2.0,6.0,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,0.0,,
,2.0,1.0,,
,2.0,1.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,2.0,,
,2.0,4.0,,
,2.0,4.0,,
,2.0,6.0,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,2.0,,,
,4.0,0.0,,
,4.0,1.0,,
,4.0,1.0,,
,4.0,2.0,,
,4.0,2.0,,
,4.0,2.0,,
,4.0,2.0,,
,4.0,2.0,,
,4.0,2.0,,
,4.0,2.0,,
,4.0,4.0,,
,4.0,4.0,,
,4.0,6.0,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,0.0,,
,4.0,1.0,,
,4.0,1.0,,
,4.0,2.0,,
,4.0,2.0,,
,4.0,2.0,,
,4.0,2.0,,
,4.0,2.0,,
,4.0,2.0,,
,4.0,2.0,,
,4.0,4.0,,
,4.0,4.0,,
,4.0,6.0,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,4.0,,,
,6.0,0.0,,
,6.0,1.0,,
,6.0,1.0,,
,6.0,2.0,,
,6.0,2.0,,
,6.0,2.0,,
,6.0,2.0,,
,6.0,2.0,,
,6.0,2.0,,
,6.0,2.0,,
,6.0,4.0,,
,6.0,4.0,,
,6.0,6.0,,
,6.0,,,
,6.0,,,
,6.0,,,
,6.0,,,
,6.0,,,
,6.0,,,
,6.0,,,
,6.0,,,
,6.0,,,
,6.0,,,
,6.0,,,
,6.0,,,
,6.0,,,
pds,,3.0,,
pds,,,,
otglf,,2.0,,
otglf,,,,
ilmn,,2.0,,
ilmn,,,,
g,,2.0,,
g,,,,
dmyi,,1.0,,
dmyi,,,,
ttwo,,1.0,,
ttwo,,,,
pdsb,,1.0,,
pdsb,,,,
ms,,1.0,,
ms,,,,
nete,,1.0,,
nete,,,,
aveo,,1.0,,
aveo,,,,
nvfy,,1.0,,
nvfy,,,,
uxin,,1.0,,
uxin,,,,
alto,,1.0,,
alto,,,,
cdr,,1.0,,
cdr,,,,
gen,,1.0,,
gen,,,,
abnb,,1.0,,
abnb,,,,
fsly,,1.0,,
fsly,,,,
se,,1.0,,
se,,,,
meli,,1.0,,
meli,,,,
ddog,,1.0,,
ddog,,,,
avid,,1.0,,
avid,,,,
mini,,1.0,,
mini,,,,
imac,,1.0,,
imac,,,,
cuz,,1.0,,
cuz,,,,
mic,,1.0,,
mic,,,,
mat,,9.0,,
mat,,,,
unit,,3.0,,
unit,,,,
,,0.0,,
,,1.0,,
,,1.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,4.0,,
,,4.0,,
,,6.0,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0,,
,,1.0,,
,,1.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,4.0,,
,,4.0,,
,,6.0,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0,,
,,1.0,,
,,1.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,4.0,,
,,4.0,,
,,6.0,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0,,
,,1.0,,
,,1.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,4.0,,
,,4.0,,
,,6.0,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0,,
,,1.0,,
,,1.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,2.0,,
,,4.0,,
,,4.0,,
